Y1,Y2,Y3,Y4,Y5
A,B,B999999,A,C
20000,20000,20000,20000,20000
#ff4,#f40,#4af,#080,purple
0,2,0,0,0
,A,,,
{},{},{},{},"{""0"": ""disable"", ""1"": ""enable"", ""2"": ""rsvd""}"
0.0,19.87177727721008,50,-30,1465
0.6279051952931337,17.61280085703527,50,20,1041
1.2533323356430426,21.70457419292155,50,20,50
1.8738131458572462,18.076884509642582,50,20,396
2.486898871648548,19.655247468154638,50,20,1318
3.090169943749474,17.89403856070736,50,20,1558
3.6812455268467796,17.890326441984417,50,20,-71
4.257792915650727,22.475773446774173,50,20,434
4.817536741017153,21.089042572541995,50,20,508
5.358267949789966,20.331068004874247,50,20,1810
5.877852522924732,17.754208239835734,50,20,179
6.3742398974868975,18.39020794918498,50,20,575
6.845471059286887,20.995132904375026,50,20,1688
7.289686274214116,20.736996024272965,50,20,1864
7.705132427757892,22.27942379476852,50,20,1192
8.090169943749475,19.55235678745999,50,20,348
8.443279255020151,22.09044302714907,50,20,500
8.763066800438637,22.30611677807451,50,20,1267
9.048270524660197,22.403346756461602,50,20,1775
9.297764858882514,17.7353457026286,50,20,1755
9.510565162951535,17.976647583204738,50,-30,86
9.68583161128631,17.55538991793094,50,20,618
9.822872507286887,21.91779446171299,50,20,239
9.921147013144779,22.299801459538795,50,20,834
9.980267284282716,21.951003428822855,50,20,-24
10.0,20.762700092694146,50,20,243
9.980267284282716,21.200910251199122,50,20,1634
9.921147013144777,19.356754548279373,50,20,1300
9.822872507286887,21.193445746773513,50,20,1958
9.68583161128631,21.56177240877986,50,20,1966
9.510565162951535,19.331076326033127,50,20,-59
9.297764858882514,19.820752794879887,50,20,1734
9.048270524660195,20.36193254146322,50,20,303
8.763066800438635,18.206623381279222,50,20,344
8.44327925502015,17.684932133234895,50,20,236
8.090169943749475,19.670685634172646,50,20,1829
7.705132427757892,19.604673916712137,50,20,1326
7.289686274214114,19.13320886294994,50,20,1619
6.845471059286885,19.548232640830513,50,20,1742
6.374239897486895,17.838723694430897,50,20,640
5.877852522924733,19.3748797235422,50,-30,42
5.358267949789966,21.18783383967636,50,20,1761
4.817536741017152,20.98182463356692,50,20,1090
4.257792915650725,19.10184643808888,50,20,1463
3.6812455268467774,17.60085377867112,50,20,1541
3.090169943749471,22.28526079697271,50,20,228
2.486898871648548,19.66351526926926,50,20,1604
1.8738131458572458,22.248506777877417,50,20,1352
1.2533323356430408,18.514322230815583,50,20,968
0.6279051952931314,20.686539300141963,50,20,1377
-3.216245299353273e-15,19.364183580946992,50,20,1427
-0.6279051952931335,18.345010190697487,50,20,1093
-1.2533323356430428,19.018500675910186,50,20,1633
-1.8738131458572478,21.4926742931008,50,20,87
-2.4868988716485503,22.246067020916687,50,20,1464
-3.090169943749477,18.075912982821144,50,20,1552
-3.681245526846783,20.394534824471716,50,20,1228
-4.257792915650727,17.61438399285388,50,20,1236
-4.817536741017154,21.34018099997017,50,20,356
-5.358267949789967,18.590753923430782,50,20,1447
-5.877852522924734,19.515877642940016,50,-30,1063
-6.3742398974869,21.80673160162655,50,20,728
-6.845471059286887,21.78541830043854,50,20,263
-7.289686274214116,21.73929643478478,50,20,1027
-7.705132427757894,20.880498098703207,50,20,1172
-8.090169943749473,22.42222076117703,50,20,257
-8.443279255020153,22.21303927505358,50,20,1279
-8.763066800438637,18.105791893437356,50,20,1756
-9.048270524660198,19.36563052053239,50,20,656
-9.297764858882514,22.02818153881914,50,20,615
-9.510565162951535,20.233672738013478,50,20,623
-9.685831611286313,18.59904578496336,50,20,1563
-9.822872507286887,19.876480097520854,50,20,-4
-9.921147013144779,19.327841531653487,50,20,62
-9.980267284282716,21.63449724120911,50,20,738
-10.0,18.75123186493488,50,20,638
-9.980267284282716,21.229192212750664,50,20,1370
-9.921147013144779,20.732655080794867,50,20,-66
-9.822872507286887,17.512973589691057,50,20,-98
-9.68583161128631,22.207002353447383,50,20,-31
-9.510565162951536,19.840678214795684,50,-30,777
-9.297764858882513,17.884886616519942,50,20,1825
-9.048270524660197,18.07161932934903,50,20,1525
-8.763066800438633,18.01589535874249,50,20,-25
-8.44327925502015,20.970434125437922,50,20,1273
-8.09016994374947,20.664008180878838,50,20,1444
-7.70513242775789,22.04671443803584,50,20,1694
-7.289686274214116,21.164352219606673,50,20,730
-6.845471059286883,22.250630199693262,50,20,1918
-6.374239897486897,18.78793799039306,50,20,1347
-5.877852522924726,21.160281075017686,50,20,1798
-5.358267949789964,19.254658625420923,50,20,666
-4.817536741017153,19.12500099162407,50,20,1309
-4.257792915650722,20.530847311288966,50,20,412
-3.6812455268467787,18.65698243649738,50,20,189
-3.090169943749468,20.93982963897062,50,20,448
-2.486898871648545,21.3678409915658,50,20,214
-1.873813145857247,19.91937406152355,50,20,738
-1.253332335643038,19.729499914910843,50,20,1876
-0.6279051952931326,21.328270043591257,50,20,1959
