0,1
AirPressFront,AirPressBack
20000,20000
#C1FFC1,#FFA54F
1,1
1.92MPa,0.16MPa
{},{}
1.6,1.92
0.16,1.44
0.96,1.28
0.16,0.64
1.44,0.48
1.6,0.96
0.48,2.4
0.48,2.24
1.28,1.28
2.08,0.16
2.4,1.6
0.0,1.28
0.16,1.28
1.92,2.24
0.96,1.76
1.92,2.08
1.12,1.12
1.92,1.28
1.92,0.48
2.08,0.8
0.48,1.28
0.0,1.12
1.6,0.48
1.12,1.6
1.28,0.64
0.16,2.4
1.44,0.96
0.48,1.12
0.96,1.28
0.96,0.32
0.48,0.16
1.44,1.76
0.48,1.28
1.92,0.16
1.6,0.8
0.8,0.0
1.44,1.28
0.96,1.76
0.32,0.96
1.92,2.4
0.48,0.16
1.28,1.92
