0,1
AirPressFront,AirPressBack
20000,20000
#D1EEEE,#00CD00
1,1
0.32MPa,1.28MPa
{},{}
1.12,2.24
0.48,2.08
1.12,1.6
1.76,2.24
1.76,1.12
2.08,2.4
1.6,0.64
0.96,1.44
0.16,2.4
1.92,1.92
0.16,2.08
0.16,2.4
0.64,0.32
1.44,1.6
0.16,1.76
0.64,0.96
2.08,2.24
0.8,0.16
1.44,1.6
0.0,1.6
0.64,1.6
0.32,2.24
0.0,1.12
0.16,2.4
0.32,0.16
0.16,2.4
1.6,2.4
0.16,0.96
0.8,0.64
0.32,0.16
0.16,0.8
0.8,1.6
1.12,0.16
1.6,0.16
1.28,1.76
1.28,1.28
0.64,0.0
0.0,2.4
0.96,1.12
2.4,0.32
0.16,0.32
2.24,1.6
2.4,0.96
0.16,1.6
0.16,2.4
1.12,2.4
1.92,0.96
0.64,0.16
0.0,0.32
2.24,0.96
0.64,0.32
0.96,1.28
1.6,0.8
0.48,0.8
0.8,0.16
1.92,0.0
0.48,0.48
