0,1
DcdcWorkSts,DcdcTemp
20000,20000
#228B22,#A2CD5A
1,1
0,-8¡æ
{},{}
-24.0,0.0
168.0,0.0
24.0,1.0
-24.0,6.0
72.0,7.0
40.0,4.0
8.0,3.0
24.0,1.0
-24.0,2.0
-24.0,1.0
72.0,7.0
-8.0,3.0
56.0,3.0
-8.0,6.0
152.0,2.0
-24.0,1.0
40.0,2.0
136.0,0.0
-24.0,0.0
184.0,6.0
168.0,2.0
152.0,2.0
-8.0,2.0
168.0,3.0
-8.0,2.0
88.0,0.0
56.0,2.0
88.0,5.0
88.0,7.0
88.0,3.0
-24.0,4.0
24.0,1.0
184.0,4.0
152.0,7.0
200.0,1.0
104.0,7.0
72.0,0.0
40.0,2.0
40.0,1.0
184.0,2.0
-24.0,7.0
120.0,3.0
120.0,3.0
136.0,2.0
-8.0,0.0
24.0,3.0
-8.0,3.0
40.0,7.0
40.0,0.0
120.0,4.0
136.0,0.0
56.0,7.0
40.0,7.0
56.0,1.0
184.0,0.0
152.0,5.0
152.0,0.0
24.0,3.0
184.0,7.0
152.0,3.0
-40.0,3.0
184.0,7.0
-8.0,3.0
24.0,6.0
24.0,4.0
136.0,4.0
152.0,7.0
200.0,3.0
88.0,7.0
-40.0,3.0
-8.0,0.0
-8.0,4.0
72.0,5.0
8.0,0.0
168.0,0.0
72.0,2.0
56.0,7.0
88.0,7.0
184.0,7.0
88.0,1.0
120.0,4.0
40.0,0.0
104.0,0.0
152.0,1.0
-8.0,6.0
120.0,3.0
168.0,0.0
-40.0,5.0
-24.0,6.0
184.0,0.0
40.0,1.0
168.0,7.0
8.0,6.0
-40.0,3.0
-8.0,2.0
104.0,0.0
136.0,6.0
-24.0,4.0
-40.0,2.0
168.0,2.0
8.0,3.0
104.0,0.0
120.0,0.0
40.0,4.0
8.0,4.0
200.0,0.0
