Y1,Y2,Y3,Y4,Y5
A,B,B999999,A,C
20000,20000,20000,20000,20000
#ff4,#f40,#4af,#080,purple
0,2,0,0,0
,A,,,
{},{},{},{},"{""0"": ""disable"", ""1"": ""enable"", ""2"": ""rsvd""}"
0.0,21.044148697134794,50,-30,539
0.6279051952931337,19.898799376759314,50,20,926
1.2533323356430426,22.083233407391194,50,20,445
1.8738131458572462,19.57113851822383,50,20,1661
2.486898871648548,19.02756962267197,50,20,1759
3.090169943749474,18.45679989075597,50,20,1737
3.6812455268467796,20.43019920350782,50,20,354
4.257792915650727,19.47264581635044,50,20,1697
4.817536741017153,17.80858341312569,50,20,181
5.358267949789966,21.15907073854493,50,20,796
5.877852522924732,20.916576802760922,50,20,795
6.3742398974868975,21.768082182017622,50,20,17
6.845471059286887,19.705184567088203,50,20,535
7.289686274214116,21.91478300231205,50,20,837
7.705132427757892,18.660038004791677,50,20,1403
8.090169943749475,18.41879372044207,50,20,456
8.443279255020151,22.448285328636846,50,20,584
8.763066800438637,19.531716553631597,50,20,557
9.048270524660197,20.0142450875688,50,20,984
9.297764858882514,20.265153997717995,50,20,765
9.510565162951535,19.31933203285352,50,-30,332
9.68583161128631,20.203587648164284,50,20,1578
9.822872507286887,19.98330695439807,50,20,-54
9.921147013144779,19.452041762986248,50,20,0
9.980267284282716,17.595083976189592,50,20,562
10.0,17.543997537916702,50,20,1407
9.980267284282716,21.014982261254303,50,20,1555
9.921147013144777,17.740519902238496,50,20,1295
9.822872507286887,20.425071658354888,50,20,1137
9.68583161128631,17.987566746860743,50,20,658
9.510565162951535,21.964720844675274,50,20,1320
9.297764858882514,18.291219661748663,50,20,1099
9.048270524660195,21.36623456926344,50,20,1043
8.763066800438635,20.933429147651815,50,20,415
8.44327925502015,19.036630082865525,50,20,826
8.090169943749475,21.337434972347385,50,20,1063
7.705132427757892,22.44257870786067,50,20,1224
7.289686274214114,19.7414165780628,50,20,1906
6.845471059286885,18.243625059574363,50,20,1243
6.374239897486895,19.735492285091883,50,20,170
5.877852522924733,21.784064509826692,50,-30,371
5.358267949789966,17.647654914346873,50,20,726
4.817536741017152,21.782198170552604,50,20,1401
4.257792915650725,20.770890068353086,50,20,945
3.6812455268467774,17.577291174505316,50,20,1870
3.090169943749471,21.03102244780548,50,20,509
2.486898871648548,21.012029616243186,50,20,483
1.8738131458572458,20.96496362297237,50,20,1150
1.2533323356430408,19.749895635705954,50,20,750
0.6279051952931314,20.08042069389265,50,20,719
-3.216245299353273e-15,17.810487855284787,50,20,1213
-0.6279051952931335,18.3670719669129,50,20,756
-1.2533323356430428,17.913151413211843,50,20,1424
-1.8738131458572478,17.746613113058814,50,20,1435
-2.4868988716485503,19.932959804025725,50,20,118
-3.090169943749477,20.028266913707252,50,20,1175
-3.681245526846783,20.237577650765537,50,20,226
-4.257792915650727,18.843255825566107,50,20,1652
-4.817536741017154,22.43904260083505,50,20,414
-5.358267949789967,21.766593310241433,50,20,674
-5.877852522924734,19.42746907336407,50,-30,969
-6.3742398974869,22.333733090401008,50,20,731
-6.845471059286887,21.132534520650264,50,20,228
-7.289686274214116,19.711360585079085,50,20,1623
-7.705132427757894,21.567103549950403,50,20,341
-8.090169943749473,21.375607808804695,50,20,443
-8.443279255020153,21.70421797420748,50,20,1261
-8.763066800438637,21.204195939837206,50,20,681
-9.048270524660198,22.450601747368214,50,20,790
-9.297764858882514,22.405622738710615,50,20,135
-9.510565162951535,20.272927151801046,50,20,1874
-9.685831611286313,21.686708407370354,50,20,632
-9.822872507286887,20.49045396976654,50,20,1597
-9.921147013144779,19.017456076688386,50,20,585
-9.980267284282716,19.742164057130037,50,20,1566
-10.0,18.44768213564576,50,20,483
-9.980267284282716,22.472029182265416,50,20,1418
-9.921147013144779,22.143161176950574,50,20,1226
-9.822872507286887,19.47767933415674,50,20,1583
-9.68583161128631,17.604445211532447,50,20,410
-9.510565162951536,19.054899522970157,50,-30,1008
-9.297764858882513,18.749072997663422,50,20,99
-9.048270524660197,22.14764502503004,50,20,1703
-8.763066800438633,19.12912469615331,50,20,158
-8.44327925502015,19.333964312569524,50,20,-19
-8.09016994374947,18.796040042603085,50,20,699
-7.70513242775789,19.624399277684116,50,20,1014
-7.289686274214116,18.553310859226535,50,20,212
-6.845471059286883,20.655163465249665,50,20,968
-6.374239897486897,22.439939836862877,50,20,238
-5.877852522924726,17.8227401626312,50,20,845
-5.358267949789964,17.72030240644817,50,20,1274
-4.817536741017153,21.17675625913502,50,20,1097
-4.257792915650722,21.04624375935823,50,20,-93
-3.6812455268467787,19.61119562021906,50,20,1242
-3.090169943749468,21.630539970731263,50,20,965
-2.486898871648545,21.291702382969582,50,20,1945
-1.873813145857247,18.04549687202101,50,20,328
-1.253332335643038,21.262974449628818,50,20,1139
-0.6279051952931326,20.885884673772697,50,20,950
